"Avatar: Akroma, Angel of Wrath",VG,Art,Avatar,,,R,,"Hand +1, Life +7 When a creature comes into play under your control, it gains two of the following abilities at random: flying, first strike, trample, haste, protection from black, protection from red, or vigilance."
Avatar: Arcanis the Omnipotent,VG,Art,Avatar,,,R,,"Hand +1, Life -3
{X}, Return a creature you control with converted mana cost X to its owner's hand: Draw a number of cards chosen at random between 0 and X. X can't be 0."
Avatar: Arcbound Overseer,VG,Art,Avatar,,,R,,"Hand +0, Life +3
At the beginning of your upkeep, you may put a +1/+1 counter on target creature you control.
At the beginning of your upkeep, you may put a charge counter on target permanent you control."
Avatar: Ashling the Pilgrim,VG,Art,Avatar,,,R,,"Hand -1, Life +6
{2}: Avatar - Ashling the Pilgrim deals 1 damage to each creature and each player."
Avatar: Birds of Paradise,VG,Art,Avatar,,,R,,"Hand +0, Life -3
Lands you control have '{T}: Add one mana of any color to your mana pool.'"
"Avatar: Bosh, Iron Golem",VG,Art,Avatar,,,R,,"Hand +0, Life -2
{X}, Sacrifice an artifact of converted mana cost
{X}: Deal X damage to target creature or player."
"Avatar: Braids, Conjurer Adept",VG,Art,Avatar,,,R,,"Hand +0, Life +3
{2}: Each player may put a land from his or her hand into play tapped.
{3}: Each player may put a noncreature artifact from his or her hand into play.
{5}: Each player may put a creature card from his/her hand into play. Play this ability only any time you could play a sorcery."
Avatar: Chronatog,VG,Art,Avatar,,,R,,"Hand -1, Life +1
You have no maximum hand size.
{0}: Draw three cards. You skip your next turn. Play this ability only once each turn."
Avatar: Dakkon Blackblade,VG,Art,Avatar,,,R,,"Hand +1, Life +0
You may play any colored card from your hand as a copy of a basic land card chosen at random that can produce mana of one of the card's colors."
Avatar: Diamond Faerie,VG,Art,Avatar,,,R,,"Hand +0, Life +5
{S}: Target creature you control gets +1/+1 until end of turn."
Avatar: Eight-and-a-Half-Tails,VG,Art,Avatar,,,R,,"Hand +2, Life -3
{1}: Target permanent you control gains protection from a random color it doesn't already have protection from until end of turn."
Avatar: Elvish Champion,VG,Art,Avatar,,,R,,"Hand +0, Life -5
You start the game with a 1/1 green Elf token that has '{T}: Add {G} to your mana pool.'"
Avatar: Erhnam Djinn,VG,Art,Avatar,,,R,,"Hand +0, Life +3
Whenever you play a creature spell, put a 1/1 green Saproling creature token into play."
Avatar: Etched Oracle,VG,Art,Avatar,,,R,,"Hand +1, Life -4
You may pay {W}{U}{B}{R}{G} rather than pay the mana cost for spells that you play."
Avatar: Fallen Angel,VG,Art,Avatar,,,R,,"Hand +0, Life -5
Whenever a creature you control goes to a graveyard from play, target opponent loses 1 life and you gain 1 life."
Avatar: Flametongue Kavu,VG,Art,Avatar,,,R,,"Hand +0, Life -6
When a non-token creature comes into play under your control, it deals a random amount of damage between 0 and 4 to target creature."
Avatar: Frenetic Efreet,VG,Art,Avatar,,,R,,"Hand -1, Life -3
Permenants you control have Phasing. At the end of your turn flip a coin. If you win the flip take an extra turn after this one."
Avatar: Goblin Warchief,VG,Art,Avatar,,,R,,"Hand +1, Life +2
Attacking creatures you control get +1/+0."
Avatar: Grinning Demon,VG,Art,Avatar,,,R,,"Hand -1, Life -2
Whenever a nontoken creature you control goes to a graveyard from play, target opponent discards a card."
"Avatar: Haakon, Stromgald Scourge",VG,Art,Avatar,,,R,,"Hand +0, Life -3
Pay 1 life: You may play target creature card in your graveyard this turn.
Whenever a creature comes into play, if you played it from your graveyard, it becomes a black Zombie Knight.
Whenever a Zombie Knight would be put into your graveyard from play, remove it from the game instead."
Avatar: Heartwood Storyteller,VG,Art,Avatar,,,R,,"Hand -1, Life +4
The first creature spell you play each turn costs {1} less to play. The first noncreature spell each opponent plays each turn costs 1 more to play."
Avatar: Hell's Caretaker,VG,Art,Avatar,,,R,,"Hand -1, Life -4
{3}, Sacrifice a creature: Return target creature from your graveyard to play."
"Avatar: Higure, the Still Wind",VG,Art,Avatar,,,R,,"Hand -1, Life +3
Whenever a nontoken creature you control deals combat damage to an opponent, take a random creature from your library, reveal it, and put it into your hand."
"Avatar: Ink-Eyes, Servant of Oni",VG,Art,Avatar,,,R,,"Hand +0, Life -3
At the beginning of the game, look at target opponent's hand and choose a nonland card from it. That player discards that card.
{X}, Pay X life: Put target creature card with converted mana cost X in an opponent's graveyard into play under your control."
Avatar: Jaya Ballard,VG,Art,Avatar,,,R,,"Hand +0, Life +1
{X}: Jaya Ballard deals an amount of damage chosen at random from 0 to X to target creature or player. Play this ability only once each turn."
Avatar: Jhoira of the Ghitu,VG,Art,Avatar,,,R,,"Hand +1, Life +0
{3}, Discard a card: Copy three instant cards chosen at random. You may play one of the copies without paying its mana cost.
{3}, Discard a card: Copy three sorcery cards chosen at random. You may play one of the copies without paying its mana cost. Play this ability only any time you could play a sorcery"
"Avatar: Karona, False God",VG,Art,Avatar,,,R,,"Hand -1, Life +8
At the beginning of your upkeep, exchange control of a random permanent you control and a random permanent target opponent controls."
Avatar: Loxodon Hierarch,VG,Art,Avatar,,,R,,"Hand +0, Life +12
Sacrifice a permanent: Regenerate target creature you control."
"Avatar: Lyzolda, the Blood Witch",VG,Art,Avatar,,,R,,"Hand -1, Life -1
#Hellbent# - As long as you have no cards in hand, if a source you control would deal damage to a creature or player, it deals double that damage to that creature or player instead.
#Hellbent# - At the end of your turn, if you have no cards in hand, each of your opponents discards a card."
Avatar: Maralen of the Mornsong,VG,Art,Avatar,,,R,,"Hand -2, Life +7
You can't draw cards.
At the beginning of your draw step, search your library for a card, put it into your hand, then shuffle your library. You lose life equal to its converted mana cost. You can't search for a card with the same name as a card you've searched for with Maralen this game."
Avatar: Maro,VG,Art,Avatar,,,R,,"Hand +2, Life -7
Tap an untapped creature you control, Discard a card: Target creature you control gets +X/+X until end of turn, where X is the number of cards in your hand."
Avatar: Mirri the Cursed,VG,Art,Avatar,,,R,,"Hand -2, Life -3
Creatures you control have '{T}: Another target creature gets -1/-1 until end of turn. Put a +1/+1 counter on this creature.'"
Avatar: Mirror Entity,VG,Art,Avatar,,,R,,"Hand +1, Life -2
{X}: Choose a creature type. Creatures of that type you control become X/X and gain all creature types until end of turn."
"Avatar: Momir Vig, Simic Visionary",VG,Art,Avatar,,,R,,"Hand +0, Life +4
{X}, Discard a card: Put a token into play as a copy of a random creature card with converted mana cost X. Play this ability only any time you could play a sorcery and only once each turn."
Avatar: Morinfen,VG,Art,Avatar,,,R,,"Hand +0, Life +30
At the beginning of your upkeep, you lose 1 life for each permanent you control."
Avatar: Murderous Redcap,VG,Art,Avatar,,,R,,"Hand +0, Life -2
Whenever a creature comes into play under your control with a counter on it, you may have it deal damage equal to its power to target creature or player."
Avatar: Nekrataal,VG,Art,Avatar,,,R,,"Hand +0, Life -4
Creature spells you play cost {B} less to play. This effect reduces only the amount of colored mana you pay."
Avatar: Oni of Wild Places,VG,Art,Avatar,,,R,,"Hand +0, Life -2
Creatures you control have haste. At the beginning of your upkeep, return a creature you control to its owner's hand."
Avatar: Peacekeeper,VG,Art,Avatar,,,R,,"Hand +0, Life +9
{3}: For each opponent who controls a creature, put a token into play as a copy of a card named Arrest and attach it to a creature that player controls chosen at random."
Avatar: Phage the Untouchable,VG,Art,Avatar,,,R,,"Hand +0, Life -5
Pay 1 life: Until end of turn, whenever a creature deals combat damage to you, destroy that creature.
Pay 1 life: Until end of turn, whenever target creature deals combat damage to a creature, destroy that creature."
